frame,timestamp_ns,w_px,h_px,conf,cx,cy,Z_est_m
0,1783399748977033836,,,,,,
30,1783399749963613342,,,,,,
60,1783399750964010241,,,,,,
90,1783399751963053442,,,,,,
120,1783399752964077141,,,,,,
150,1783399753962983212,26.3,151.6,0.369,13.1,116.5,7.36
180,1783399754962990812,30.2,147.1,0.317,15.2,118.3,6.41
210,1783399755961507095,,,,,,
240,1783399756960978800,,,,,,
270,1783399757970637177,,,,,,
300,1783399758960521525,,,,,,
330,1783399759961318132,,,,,,
360,1783399760962001736,,,,,,
390,1783399761970276339,,,,,,
420,1783399762960291506,,,,,,
450,1783399763970898975,,,,,,
480,1783399764971140910,,,,,,
510,1783399765970387588,25.8,112.7,0.644,169.6,175.3,7.50
540,1783399766959844195,30.0,120.8,0.545,158.7,189.2,6.45
570,1783399767970980107,63.1,250.1,0.801,452.2,163.5,3.06
600,1783399768970975938,77.0,232.5,0.790,460.4,152.4,2.51
630,1783399769959727156,69.7,256.8,0.751,466.5,147.3,2.77
660,1783399770971311537,68.5,227.4,0.765,473.2,160.7,2.83
690,1783399771959175013,70.0,232.3,0.782,484.0,157.4,2.76
720,1783399772970893350,81.5,251.0,0.819,500.3,162.6,2.37
750,1783399773970978680,95.1,273.7,0.821,531.7,150.0,2.04
780,1783399774971025195,99.6,248.1,0.820,551.1,169.5,1.94
810,1783399775970632729,102.8,193.7,0.844,560.7,191.6,1.88
840,1783399776970370819,98.9,227.3,0.864,567.4,183.7,1.96
870,1783399777971255725,97.3,237.0,0.870,586.1,192.4,1.99
900,1783399778971230533,95.6,249.7,0.852,585.1,206.9,2.02
930,1783399779971513087,110.4,261.1,0.845,584.6,229.4,1.75
960,1783399780971255265,57.1,218.8,0.823,42.3,148.6,3.39
990,1783399781971596488,55.5,233.9,0.751,32.2,143.9,3.48
1020,1783399782971849275,23.5,262.4,0.661,11.9,189.0,8.24
1050,1783399783971484991,,,,,,
1080,1783399784971052538,28.3,87.0,0.627,433.1,199.4,6.85
1110,1783399785959903534,29.0,88.2,0.301,424.7,178.1,6.67
1140,1783399786971220179,30.7,77.6,0.483,427.3,173.2,6.30
1170,1783399787971367616,,,,,,
1200,1783399788972457731,,,,,,
1230,1783399789961930618,34.0,142.8,0.665,442.2,211.8,5.69
1260,1783399790961941747,32.7,138.0,0.499,442.7,219.0,5.92
1290,1783399791963266716,,,,,,
1320,1783399792961181136,,,,,,
1350,1783399793961927277,30.0,250.6,0.666,15.1,174.6,6.44
1380,1783399794960998692,54.3,224.3,0.827,27.5,166.2,3.56
1410,1783399795972353599,106.7,244.0,0.818,502.2,171.0,1.81
1440,1783399796960931258,49.3,136.2,0.736,107.6,175.5,3.92
1470,1783399797960971561,37.3,139.0,0.586,122.8,179.4,5.19
1500,1783399798971968850,33.9,137.2,0.530,128.2,219.3,5.70
1530,1783399799961618363,31.9,134.2,0.280,130.4,217.6,6.06
1560,1783399800961900886,24.7,144.2,0.490,146.7,167.4,7.83
1590,1783399801962121912,31.1,122.7,0.330,144.6,196.1,6.23
1620,1783399802962005970,25.6,98.6,0.596,147.3,190.7,7.57
1650,1783399803971774076,,,,,,
1680,1783399804961172030,,,,,,
1710,1783399805961305389,66.4,140.7,0.392,380.6,122.7,2.91
1740,1783399806961039350,,,,,,
1770,1783399807961421372,,,,,,
1800,1783399808961626086,,,,,,
1830,1783399809960353769,,,,,,
