frame,timestamp_ns,raw_z,z_filt,w_px,conf
0,1783400022708812324,4.591,,42.1,0.354
5,1783400022864419968,4.610,4.600,42.0,0.375
10,1783400023032874032,,4.600,,
15,1783400023197466810,4.556,4.591,42.5,0.359
20,1783400023364837208,,4.591,,
25,1783400023532823053,,4.591,,
30,1783400023697115842,4.823,4.600,40.1,0.484
35,1783400023864948587,4.638,4.610,41.7,0.549
40,1783400024033363286,4.558,4.610,42.4,0.532
45,1783400024197342821,4.437,4.558,43.6,0.481
50,1783400024365158343,4.463,4.558,43.4,0.558
55,1783400024533399082,4.867,4.558,39.8,0.372
60,1783400024697945483,4.553,4.553,42.5,0.573
65,1783400024864725521,4.757,4.553,40.7,0.451
70,1783400025033172811,,4.553,,
75,1783400025196374882,,4.553,,
80,1783400025365319105,,4.553,,
85,1783400025533815940,5.435,4.757,35.6,0.445
90,1783400025697886387,,4.757,,
95,1783400025865353399,4.970,4.867,38.9,0.411
100,1783400026032203940,5.122,4.970,37.8,0.388
105,1783400026197256882,5.039,5.039,38.4,0.591
110,1783400026364391212,5.276,5.122,36.7,0.635
115,1783400026542629085,5.290,5.122,36.6,0.609
120,1783400026696788502,5.126,5.126,37.7,0.683
125,1783400026865064637,5.298,5.276,36.5,0.562
130,1783400027028361889,,5.276,,
135,1783400027197451859,5.066,5.276,38.2,0.643
140,1783400027365429408,5.098,5.126,38.0,0.535
145,1783400027529354610,5.502,5.126,35.2,0.516
150,1783400027696315711,5.600,5.298,34.6,0.477
155,1783400027865258071,,5.298,,
160,1783400028028561734,,5.298,,
165,1783400028196284721,,5.298,,
170,1783400028365464111,,5.298,,
175,1783400028529737093,7.291,5.502,26.5,0.409
180,1783400028697365370,,5.502,,
185,1783400028866778263,,5.502,,
190,1783400029029569834,,5.502,,
195,1783400029197887600,,5.502,,
200,1783400029365886089,,5.502,,
205,1783400029530068609,,5.502,,
210,1783400029698053242,,5.502,,
215,1783400029865952333,,,,
220,1783400030040117080,,,,
225,1783400030207529016,,,,
230,1783400030365759505,,,,
235,1783400030539656264,,,,
240,1783400030706933004,,,,
245,1783400030866262388,,,,
250,1783400031039726775,,,,
255,1783400031197894996,,,,
260,1783400031364992286,,,,
265,1783400031540157690,,,,
270,1783400031707797450,,,,
275,1783400031876443527,,,,
280,1783400032041320916,,,,
285,1783400032197489845,,,,
290,1783400032376821102,,,,
295,1783400032540471322,,,,
300,1783400032707123678,,,,
305,1783400032876169343,,,,
310,1783400033029882513,,,,
315,1783400033206643785,,,,
320,1783400033376071185,2.028,,95.4,0.399
325,1783400033530224149,2.037,2.032,95.0,0.607
330,1783400033697856754,2.644,2.037,73.2,0.360
335,1783400033877758974,3.029,2.340,63.9,0.473
340,1783400034040145017,2.756,2.644,70.2,0.481
345,1783400034197957123,,2.644,,
350,1783400034365229154,,2.644,,
355,1783400034529316744,2.591,2.644,74.7,0.453
360,1783400034707671128,2.767,2.756,69.9,0.389
365,1783400034866235180,2.147,2.756,90.1,0.389
370,1783400035030177915,2.422,2.591,79.9,0.458
375,1783400035198333844,2.452,2.452,78.9,0.581
380,1783400035375981007,,2.452,,
385,1783400035539086103,2.234,2.422,86.6,0.539
390,1783400035697744794,2.332,2.332,83.0,0.706
395,1783400035866291804,2.062,2.332,93.8,0.807
400,1783400036030305905,2.082,2.234,92.9,0.756
405,1783400036198256854,2.170,2.170,89.2,0.810
410,1783400036366367265,2.146,2.146,90.2,0.812
415,1783400036530244136,2.173,2.146,89.1,0.813
420,1783400036698308450,2.099,2.146,92.2,0.812
425,1783400036865212873,2.112,2.146,91.6,0.834
430,1783400037030325699,2.028,2.112,95.4,0.839
435,1783400037198300272,2.025,2.099,95.6,0.849
440,1783400037377256638,1.967,2.028,98.4,0.827
445,1783400037530019746,1.961,2.025,98.7,0.844
450,1783400037698277376,1.949,1.967,99.3,0.857
455,1783400037866273691,1.934,1.961,100.0,0.863
460,1783400038029437880,1.870,1.949,103.5,0.853
465,1783400038198540173,1.901,1.934,101.8,0.836
470,1783400038365436452,1.883,1.901,102.8,0.848
475,1783400038529286722,1.842,1.883,105.1,0.856
480,1783400038698232488,1.797,1.870,107.7,0.839
485,1783400038877578933,1.853,1.853,104.4,0.853
490,1783400039041496751,1.859,1.853,104.1,0.862
495,1783400039208284524,1.787,1.842,108.3,0.862
500,1783400039376459498,1.761,1.797,109.9,0.850
505,1783400039539833284,1.737,1.787,111.4,0.850
510,1783400039707646992,1.823,1.787,106.1,0.844
515,1783400039876101596,1.989,1.787,97.3,0.841
520,1783400040041160349,2.199,1.823,88.0,0.846
525,1783400040207887105,2.368,1.989,81.7,0.809
530,1783400040376431510,2.565,2.199,75.4,0.639
535,1783400040540010856,2.862,2.368,67.6,0.725
540,1783400040707645224,3.007,2.565,64.3,0.835
545,1783400040877249860,3.393,2.862,57.0,0.814
550,1783400041039930051,3.370,3.007,57.4,0.775
555,1783400041207940743,3.463,3.370,55.9,0.803
560,1783400041376192252,3.675,3.393,52.6,0.822
565,1783400041540393037,3.740,3.463,51.7,0.660
570,1783400041706842688,3.763,3.675,51.4,0.848
575,1783400041875624503,3.757,3.740,51.5,0.845
580,1783400042040140506,3.917,3.757,49.4,0.792
585,1783400042208627532,4.120,3.763,47.0,0.771
590,1783400042375816856,4.491,3.917,43.1,0.714
595,1783400042540083416,4.614,4.120,41.9,0.708
600,1783400042708133253,5.296,4.491,36.5,0.673
605,1783400042876250677,5.417,4.614,35.7,0.693
610,1783400043029236027,6.749,5.296,28.7,0.542
615,1783400043208756203,6.699,5.417,28.9,0.540
620,1783400043375358884,6.307,6.307,30.7,0.385
625,1783400043539864928,6.060,6.307,31.9,0.384
630,1783400043707835743,6.263,6.307,30.9,0.402
635,1783400043876616126,,6.307,,
640,1783400044039629277,,6.307,,
645,1783400044207596477,,6.307,,
650,1783400044371947868,,6.307,,
655,1783400044539323986,,6.307,,
660,1783400044708292876,,6.307,,
665,1783400044871364740,,6.307,,
670,1783400045040152096,,,,
675,1783400045208483286,,,,
680,1783400045372009602,,,,
685,1783400045539998443,,,,
690,1783400045708535594,,,,
695,1783400045872408778,,,,
700,1783400046039920875,,,,
705,1783400046208383654,,,,
710,1783400046371968632,,,,
715,1783400046539762322,,,,
720,1783400046708209072,,,,
725,1783400046871922653,,,,
730,1783400047039979462,,,,
735,1783400047208319410,,,,
740,1783400047372351564,,,,
745,1783400047539670545,,,,
750,1783400047708343393,,,,
755,1783400047872223189,,,,
760,1783400048040003805,,,,
765,1783400048208389178,,,,
770,1783400048372293772,,,,
775,1783400048539478718,,,,
780,1783400048708243120,,,,
785,1783400048872616553,,,,
790,1783400049040027317,,,,
795,1783400049208944619,,,,
800,1783400049372157190,,,,
805,1783400049539949538,,,,
