frame,timestamp_ns,raw_z,z_filt,w_px,conf
0,1783417198771323310,,,,
5,1783417198928272269,,,,
10,1783417199106114686,,,,
15,1783417199271518733,,,,
20,1783417199438424699,,,,
25,1783417199606311632,,,,
30,1783417199759759338,,,,
35,1783417199938349468,,,,
40,1783417200104320304,,,,
45,1783417200270305087,,,,
50,1783417200439195029,,,,
55,1783417200603991440,,,,
60,1783417200771466900,,,,
65,1783417200937560781,,,,
70,1783417201104013804,,,,
75,1783417201272436046,,,,
80,1783417201438442599,,,,
85,1783417201604701544,,,,
90,1783417201772310677,,,,
95,1783417201938380041,,,,
100,1783417202103292704,,,,
105,1783417202271540232,,,,
110,1783417202437962668,,,,
115,1783417202602641365,,,,
120,1783417202771114313,,,,
125,1783417202937859433,,,,
130,1783417203092348700,,,,
135,1783417203270871331,,,,
140,1783417203438094049,,,,
145,1783417203592656837,,,,
150,1783417203771526368,,,,
155,1783417203927217584,,,,
160,1783417204091917311,,,,
165,1783417204259960070,,,,
170,1783417204428061601,,,,
175,1783417204592269533,,,,
180,1783417204772470308,,,,
185,1783417204939667118,4.657,,41.6,0.763
190,1783417205093047957,3.706,4.181,52.2,0.780
195,1783417205271739329,3.334,3.706,58.0,0.792
200,1783417205438601821,2.965,3.520,65.3,0.843
205,1783417205604724537,2.920,3.334,66.3,0.858
210,1783417205770385473,2.863,2.965,67.6,0.858
215,1783417205927701651,2.777,2.920,69.7,0.860
220,1783417206102530393,2.709,2.863,71.4,0.863
225,1783417206260691639,2.759,2.777,70.1,0.805
230,1783417206428142932,2.663,2.759,72.7,0.851
235,1783417206591901218,2.703,2.709,71.6,0.727
240,1783417206770800597,,2.709,,
245,1783417206939527618,,2.709,,
250,1783417207104465718,,2.709,,
255,1783417207260659400,,2.709,,
260,1783417207438958395,,2.709,,
265,1783417207604276119,,2.709,,
270,1783417207772179303,,2.709,,
275,1783417207939444302,,,,
280,1783417208103632405,,,,
285,1783417208261058882,,,,
290,1783417208429169451,,,,
295,1783417208592992760,,,,
300,1783417208760578289,,,,
305,1783417208939468279,,,,
310,1783417209092731614,,,,
315,1783417209260179582,,,,
320,1783417209428936660,,,,
325,1783417209591725000,,,,
330,1783417209760593992,,,,
335,1783417209928905041,,,,
340,1783417210104409059,,,,
345,1783417210271306538,,,,
350,1783417210428371157,,,,
355,1783417210603934997,,,,
360,1783417210760337085,,,,
365,1783417210928945340,,,,
370,1783417211092398295,,,,
375,1783417211261218123,,,,
380,1783417211427638164,,,,
385,1783417211592405260,,,,
390,1783417211760013192,,,,
395,1783417211928443458,,,,
400,1783417212104078224,,,,
405,1783417212260309747,,,,
410,1783417212428968900,,,,
415,1783417212592500454,,,,
420,1783417212760449495,,,,
425,1783417212928531489,,,,
430,1783417213092903623,,,,
435,1783417213259931721,,,,
440,1783417213429431062,,,,
445,1783417213604494420,,,,
450,1783417213771692291,,,,
455,1783417213940620284,,,,
460,1783417214104515982,,,,
465,1783417214272008994,,,,
470,1783417214439779615,,,,
475,1783417214604882971,,,,
480,1783417214771877656,,,,
485,1783417214939310184,,,,
490,1783417215104449157,,,,
495,1783417215261261736,,,,
500,1783417215440083346,,,,
505,1783417215603777370,,,,
510,1783417215770988797,,,,
515,1783417215939386552,,,,
520,1783417216102519898,,,,
525,1783417216272608741,,,,
530,1783417216439416930,1.127,,171.6,0.369
535,1783417216604246886,1.308,1.218,147.9,0.413
540,1783417216772054017,1.447,1.308,133.7,0.512
545,1783417216940426433,,1.308,,
550,1783417217104551207,1.442,1.375,134.2,0.602
555,1783417217271676059,,1.375,,
560,1783417217436267921,,1.375,,
565,1783417217603828533,,1.375,,
570,1783417217771274025,,1.375,,
575,1783417217936533968,,1.375,,
580,1783417218103978489,,1.375,,
585,1783417218272139463,,1.375,,
590,1783417218436656282,,,,
595,1783417218604440810,,,,
600,1783417218771990270,6.935,,27.9,0.553
605,1783417218937021849,,,,
610,1783417219105219372,,,,
615,1783417219271890521,,,,
620,1783417219436406650,0.575,3.755,336.5,0.408
625,1783417219603967982,0.567,0.575,341.3,0.521
630,1783417219771143561,0.524,0.571,369.2,0.534
635,1783417219924761531,0.771,0.575,251.0,0.666
640,1783417220103460148,0.496,0.567,390.0,0.569
645,1783417220271449605,0.879,0.567,220.2,0.786
650,1783417220435761224,0.967,0.771,200.1,0.794
655,1783417220603663716,0.936,0.879,206.7,0.807
660,1783417220770452990,0.908,0.908,213.1,0.801
