frame,timestamp_ns,raw_z,z_filt,w_px,conf
610,1783400628298839343,2.489,2.432,77.8,0.833
615,1783400628476554795,2.425,2.432,79.8,0.801
620,1783400628630789305,2.478,2.478,78.1,0.794
625,1783400628798324015,2.943,2.489,65.7,0.799
630,1783400628976807533,7.515,2.489,25.8,0.429
635,1783400629129677514,,2.489,,
640,1783400629298182925,5.752,2.943,33.6,0.568
645,1783400629466642249,2.512,2.943,77.0,0.799
650,1783400629629742495,2.523,2.943,76.7,0.766
655,1783400629798691758,2.445,2.523,79.1,0.842
660,1783400629966624974,2.461,2.512,78.6,0.851
665,1783400630129814310,2.431,2.461,79.6,0.813
670,1783400630298258334,2.208,2.445,87.6,0.843
675,1783400630466940170,2.238,2.431,86.4,0.844
680,1783400630630850724,2.257,2.257,85.7,0.843
685,1783400630798190414,2.372,2.257,81.6,0.836
690,1783400630965977432,2.357,2.257,82.1,0.852
695,1783400631130463067,2.226,2.257,86.9,0.842
700,1783400631298383277,1.945,2.257,99.5,0.835
705,1783400631466626080,2.150,2.226,90.0,0.836
710,1783400631631116525,2.235,2.226,86.6,0.828
715,1783400631799319262,2.349,2.226,82.4,0.845
720,1783400631967236416,2.301,2.235,84.1,0.835
725,1783400632129656183,2.162,2.235,89.5,0.855
730,1783400632299419500,2.092,2.235,92.5,0.827
735,1783400632477170028,2.230,2.230,86.8,0.829
740,1783400632642593864,2.408,2.230,80.4,0.841
745,1783400632809188670,2.538,2.230,76.2,0.842
750,1783400632967098943,2.576,2.408,75.1,0.857
755,1783400633140809137,2.467,2.467,78.4,0.851
760,1783400633308455168,2.544,2.538,76.1,0.842
765,1783400633476519451,2.468,2.538,78.4,0.849
770,1783400633640842148,2.401,2.468,80.6,0.841
775,1783400633807967491,2.464,2.467,78.5,0.848
780,1783400633977621992,2.496,2.468,77.5,0.845
785,1783400634141591388,2.429,2.464,79.7,0.820
790,1783400634309593554,2.474,2.464,78.2,0.825
795,1783400634466620029,2.451,2.464,78.9,0.853
800,1783400634640604895,2.366,2.451,81.8,0.811
805,1783400634810217296,2.294,2.429,84.3,0.695
810,1783400634977185380,2.356,2.366,82.1,0.796
815,1783400635130890395,2.401,2.366,80.6,0.814
820,1783400635299226464,2.437,2.366,79.4,0.834
825,1783400635477034632,2.367,2.367,81.7,0.822
830,1783400635630680676,2.355,2.367,82.2,0.810
835,1783400635799058314,2.430,2.401,79.6,0.801
840,1783400635967314562,2.338,2.367,82.8,0.832
845,1783400636140482688,2.353,2.355,82.2,0.814
850,1783400636310189849,2.356,2.355,82.1,0.809
855,1783400636466358617,2.402,2.356,80.6,0.813
860,1783400636630481013,2.345,2.353,82.5,0.826
865,1783400636798837302,2.279,2.353,84.9,0.816
870,1783400636967333876,2.265,2.345,85.4,0.828
875,1783400637131446624,2.178,2.279,88.8,0.813
880,1783400637298784930,2.209,2.265,87.6,0.804
885,1783400637467348390,2.222,2.222,87.1,0.782
890,1783400637631262532,2.236,2.222,86.5,0.790
895,1783400637799036015,2.105,2.209,91.9,0.793
900,1783400637967398144,2.130,2.209,90.8,0.820
905,1783400638131325650,2.083,2.130,92.9,0.831
910,1783400638299130001,1.988,2.105,97.3,0.829
915,1783400638467450241,2.072,2.083,93.4,0.838
920,1783400638630433767,2.086,2.083,92.8,0.825
925,1783400638799580474,2.185,2.083,88.5,0.834
930,1783400638966643599,2.030,2.072,95.3,0.822
935,1783400639130567519,2.094,2.086,92.4,0.793
