frame,timestamp_ns,raw_z,z_filt,w_px,conf
835,1783399776803134215,1.836,1.836,105.4,0.856
840,1783399776970370819,1.957,1.836,98.9,0.864
845,1783399777138512369,1.914,1.884,101.1,0.857
850,1783399777302937000,1.950,1.914,99.2,0.851
855,1783399777470761178,1.875,1.914,103.2,0.841
860,1783399777638863054,1.853,1.914,104.4,0.848
865,1783399777802434976,1.981,1.914,97.7,0.858
870,1783399777971255725,1.989,1.950,97.3,0.870
875,1783399778139144867,1.994,1.981,97.0,0.865
880,1783399778302882262,2.020,1.989,95.8,0.850
885,1783399778471125105,2.103,1.994,92.0,0.861
890,1783399778628235419,1.961,1.994,98.7,0.831
895,1783399778803311295,2.082,2.020,92.9,0.861
900,1783399778971230533,2.024,2.024,95.6,0.852
905,1783399779139856353,2.144,2.082,90.3,0.839
910,1783399779302966290,2.174,2.082,89.0,0.825
915,1783399779471405955,1.947,2.082,99.4,0.818
920,1783399779639656854,1.902,2.024,101.8,0.784
925,1783399779803346769,1.668,1.947,116.0,0.835
930,1783399779971513087,1.753,1.902,110.4,0.845
935,1783399780138806760,2.018,1.902,95.9,0.838
940,1783399780292202498,2.078,1.902,93.1,0.845
945,1783399780471233056,2.067,2.018,93.6,0.839
950,1783399780628475931,2.219,2.067,87.2,0.837
955,1783399780803337179,2.446,2.078,79.1,0.817
960,1783399780971255265,2.468,2.219,78.4,0.727
965,1783399781140063861,3.378,2.446,57.3,0.801
970,1783399781303261874,3.247,2.468,59.6,0.820
975,1783399781472140423,3.290,3.247,58.8,0.808
980,1783399781640202683,3.451,3.290,56.1,0.792
985,1783399781802949810,3.324,3.324,58.2,0.771
990,1783399781971596488,3.484,3.324,55.5,0.751
995,1783399782140002160,3.829,3.451,50.5,0.749
1000,1783399782303235089,3.915,3.484,49.4,0.829
1005,1783399782471501988,4.166,3.829,46.4,0.828
1010,1783399782639084768,4.530,3.915,42.7,0.771
1015,1783399782803824816,6.233,4.166,31.0,0.656
1020,1783399782971849275,5.831,4.530,33.2,0.384
1025,1783399783139368445,10.035,5.831,19.3,0.648
1030,1783399783291301428,,5.831,,
1035,1783399783460491067,,5.831,,
1040,1783399783639238928,7.207,6.233,26.9,0.679
1045,1783399783803382785,11.418,7.207,16.9,0.415
1050,1783399783971484991,,7.207,,
1055,1783399784139744395,7.302,7.302,26.5,0.393
1060,1783399784303663847,,7.302,,
1065,1783399784471310418,6.988,7.302,27.7,0.452
1070,1783399784639567148,,7.302,,
1075,1783399784801868810,,7.302,,
1080,1783399784971052538,6.848,7.207,28.3,0.627
1085,1783399785140228961,6.525,6.988,29.7,0.609
1090,1783399785303526152,6.832,6.848,28.3,0.438
1095,1783399785471680417,6.626,6.832,29.2,0.422
1100,1783399785639853166,6.594,6.626,29.3,0.540
1105,1783399785803500020,,6.626,,
1110,1783399785959903534,,6.626,,
1115,1783399786139784454,6.552,6.594,29.5,0.564
1120,1783399786303077458,6.616,6.616,29.2,0.524
1125,1783399786471329187,6.697,6.616,28.9,0.688
1130,1783399786639659035,,6.616,,
1135,1783399786802041371,6.373,6.594,30.4,0.409
1140,1783399786971220179,6.300,6.552,30.7,0.483
1145,1783399787128810023,,6.552,,
1150,1783399787302768208,,6.552,,
1155,1783399787472215205,8.071,6.616,24.0,0.648
1160,1783399787639633604,,6.616,,
1165,1783399787803425544,,6.616,,
1170,1783399787971367616,,6.616,,
1175,1783399788128824408,9.436,6.697,20.5,0.662
1180,1783399788303191048,9.178,8.071,21.1,0.384
1185,1783399788461152016,,8.071,,
1190,1783399788629449672,8.752,8.752,22.1,0.428
1195,1783399788804222753,,8.752,,
1200,1783399788972457731,,8.752,,
